text,basic_relationship,subtype_label
"  Hey  its all for the higher good right,  What  We took bathes together when we were kids,  Uh  yeah  Were old friend,  So what you need to do is recruit a guy wholl go out with her  Someone whos up for the job,  But she cant go out with you because her sister is this insane head case and no one will go out with her right,  Well actually I thought Id run an idea by you  You know just to see if youre interested,  Nope  just came by to chat",friend,Close Acquaintance
  Hey,friend,Superficial Acquaintance
"  William  he asked me to meet him here,  Oh good  Something new and different for us,  Okay okay we wont go  Its not like I have a dress anyway,  Well I guess were not since we dont have dates ,  You didnt,  You didnt have a choice  Wheres Kat and what have you done with her,  You went to the party  I thought we were officially opposed to suburban social activity,  Whatd he say,  You think thisll work,  Does it matter,  Thats never been proven,  William would never have gone to a state school,  You could always go with me  Im sure William has some friends,  But imagine the things hed say during sex,  An attempted slit,  Just a little,  He always look so,  Thats Pat Verona The one who was gone for a year I heard he was doing porn movies",family,Consanguine
"  Don  t you even dare  ,  Because I like to torture you,  Yeah but then I fucked up I fell for her,  I thought you could use it When you start your band,  I didnt care about the money,  It wasnt like that,  It gets worse  you still have your freshman yearbook,  Thats where I was last year  Shed never lived alone  my grandfather died  I stayed with her  I wasnt in jail I dont know Marilyn Manson and Ive never slept with a Spice Girl  I spent a year sitting next to my grandma on the couch watching Wheel of Fortune  End of story,  My grandmothers ,  Oh huh,  Its Scurvys  His date got convicted Whered you get the dress,  Nothing  Theres nothing in it for me Just the pleasure of your company,  You need therapy  Has anyone ever told you that,  So I have to have a motive to be with you,  Why not,  No what,  You know what I mean,  Go to the prom with me,  No one else knows,  Youre sweet  And sexy  And completely hot for me,  I hate peas,  Hearsay,  Fallacy,  You never disappointed me,  Then you screwed up,  So if you disappoint them from the start youre covered,  Yes,  So whats your excuse,  A soft side Who knew,  So howd you get Chapin to look the other way,  I figured it had to be something ridiculous to win your respect  And piss you off,  Maybe,  Forget it  Im stayin,  Try lookin at it from this angle,  Look up sunshine,  So what did I have an effect on ,  Unwelcome  I guess someone still has her panties in a twist,  Pleasant,  I heard there was a poetry reading,  No offense but youre sister is without  I know everyone likes her and all but ,  Who,  Im gettin there,  You dont strike me as the type that would ask permission,  Start a band,  Do what,  Then whyd you ask,  Maybe,  Busy,  And Im in control of it,  Kat Wake up,  I thought you were above all that,  I know  Itd have to be a pretty big deal to get you to mainline tequila You dont seem like the type,  Dorsey,  Whyd you let him get to you,  See that  Who needs affection when Ive got blind hatred,  Because then Id have to start taking out girls who like me,  Sure I do,  I told you,  Leave it to you to use big words when youre shitfaced,  What if you have a concussion My dog went to sleep with a concussion and woke up a vegetable Not that I could tell the difference,  Uh uh You lie down and youll go to sleep,  Youre not okay,  Okay,  I say do what you wanna do,  Why dont you,  Do you mind  Youre sort of ruining it for me,  Excuse me,  hey  Great show huh,  Youre not a big talker are you,  I was in the laundromat I saw your car Thought Id say hi,  Seventhirty,  Come on  the ponies the flat beer you with money in your eyes me with my hand on your ass,  Then say youll spend Dollar Night at the track with me,  I know a lot more than that,  The night I take you to places youve never been before  And back,  Pick you up Friday then,  Theres a way to get a guys attention",pleasant,Mentoring
"  When I go,  Whats the matter  Upset that I rubbed off on her,  The part where Bianca beat the hell out of some guy,  Parts of it,  No Daddy,  Yeah  She left with some bikers Big ones  Full of sperm,  I want to go to an East Coast school I want you to trust me to make my own choices  I want ,  So what I want doesnt matter,  Because youre making decisions for me,  I thought you were punishing me,  Then tell them I had a seizure,  You decided",friend,Superficial Acquaintance
"  Just smack her now,  No  I believe heinous bitch is the term used most often,  The point is Kat  people perceive you as somewhat ,  Well yes compared to your other choices of expression this year todays events are quite mild  By the way Bobby Rictors gonad retrieval operation went quite well in case youre interested",friend,Close Acquaintance
"  Yeah,  Right,  Yeah  I guess,  Hi",friend,Superficial Acquaintance
"  Youre completely demented,  You werent abused you arent stupid and as far as I can tell youre only slightly psychotic  so why is it that youre such a fuckup,  Im at a loss then  What should we talk about Your year of absence,  With the teeth of your zipper,  It says here you exposed yourself to a group of freshmen girls",pleasant,Mentoring
"  IFGODWILLSIT,  Dont you realize your words could be considered heretical,  If God intended our proximity to Asia do you believe he would have waited for you to show it to the world,  Is that all that interests you Gold,  Your life and that of others,  Then you cannot ignore that according to their calculations the circumference of the Earth is approximately  22000 leagues or more  Which makes the ocean uncrossable,  Unfortunately Don Colon that is precisely where our opinions differ  Are you familiar with the work of Aristotle  Erathostene  Ptolemeus",friend,Superficial Acquaintance
"  You say Asia can be found by sailing west,  What a tragedy what a waste of a life,  It wont be easy to get rid of your prophet now Don Sanchez,  He is a mercenary  Did he not already try to convince the King of Portugal of his absurd notions,  The Judgment is ours",pleasant,Mentoring
"  The State has some reason to be interested in this mans proposition Your Eminence,  Roofs towers palaces spires,  I am not afraid of you  You are nothing but a dreamer,  To rise so high in so short a time is a dangerous occupation  A little hypocrisy goes a long way,  You seem to have a special talent for making friends,  Don Bobadilla is already a judge my Dear Don Cristobal,  Forgive me Don Colon  But what about gold,  If you wont accept our proposal well simply find someone who will,  Then you are too ambitious,  I remind you Senor Colon that you are in no position to bargain with me,  No",friend,Superficial Acquaintance
"  I am afraid this is not the worst news,  I am not a seaman  But I heard it is no more than a week at sea  I hope you are not too disappointed,  Viceroy of the West Indies,  My letters of appointment,  Don Alonso de Bobadilla,  May I ask by whom",family,Consanguine
"  Tell me the first thing that comes to your mind,  I want you to tell me everything you remember Father  From the beginning  Everything,  He asks when he can come to visit you  He left his address,  I am not listening Father  But I cant help hearing,  Not bad,  This time with me,  You promise  Do you swear on St Christopher,  I want to go with you",friend,Superficial Acquaintance
"  There is one thing Id like to understand Why do you want to go back after all this,  But without your brothers  Nor are you to return to Santo Domingo or any of the other colonies  You may explore the continent,  Do they have such thoughts,  A woman,  You show no inclination to speak otherwise,  That she was impregnable,  The ocean is uncrossable",pleasant,Mentoring
"  You will regret this,  Savagery is what monkeys understand,  You did not hear me Don Colon  Not my horse,  My horse doesnt work,  We dont need to know,  We lost cousins friends  We will wash this in blood",pleasant,Mentoring
  And you say this is an Indian vice By God  I dont see any kind of pleasure that would make this a sin,pleasant,Mentoring
"  Hes drawing an isthmus Hes saying were on an isthmus,  Come over here,  And what do you think Mendez",pleasant,Mentoring
"  You tell that to them,  You bloody,  Jesus Maria  I should have never listened to you,  You dont know anything  Listen Colon these are my ships right So Im telling you were turning back,  Were lost,  Were on the verge of a mutiny Colon,  You must be mad,  Immediately",pleasant,Diverse work
"  Then why,  He must be replaced,   But there is worse  He ordered the execution of five members of the nobility,  Every ship returns with a cargo of sick and dying  But with no gold The new world proves expensive Your Majesty,  Never Your Majesty  Although,  Yes Your Majesty",friend,Superficial Acquaintance
"  so we kill someone famous and if we are caught we are sent to mental hospital,  Im abused  Dont you think,  Out on my back when I was a small boy,  Yeah he hated me from day when I was born  Put it out  Can you put the cigarette out,  Yeah yeahbad doctor gave her bad drugs which made her go blind  And my father blamed me for her blindness,  Yeah she went blind giving birth to me She went to fucking black market doctor to induce me,  My father always degraded me  Killed my selfesteem  And my mother was blind,  Give me another one please,  What else do you need,  Thirtypercent  No more  Or I call another lawyer  This is the biggest case of your life  Dont try to negotiate  Thirty percent  Say yes or no,  No  No way,  Whats your cut  How much,  What about my movie rights  Book rights,  No he is here  Shit,  What about Oleg,  I was all of these,  You bring the cigarettes,  Yes  Yes come with me,  Where are we going,  He has the camera  He took the movie,  Here  I have your money",pleasant,Diverse work
"  Daphne I,  Do you really want me to forget about you,  What are you doing,  Ill make some for us,  Do you have coffee,  Im glad I met you,  A good Immigration lawyer could stall the process  Eddie recommended one,  If I was your boyfriend I might be,  Is he your boyfriend,  I still cant believe Eddies gone,  Theyre not gonna send you right back,  I know,  Im just trying to find out who you are,  So you were never a prostitute,  What about back home,  Did you ever turn tricks before,  Yeah  This way,  The men are out of quarters  practicing putting out fires,  I cant take you to my place,  Divorced,  They wont until this is over,  If you cooperate with the DA  maybe theyll help you with your situation,  Alright  Thats a justifiable homicide",friend,Superficial Acquaintance
"  Youre a cop  youll never believe me,  Im from a small town in Slovakia  Like the South here  The Police is right a civilian is wrong  So I fled,  No no dont talk to Immigration,  If I tell you will you arrest me,  Tamina was a friend of mine  My shower was broken she let me use theirs",unpleasant,Undesirable
  I told your partner I cant help  I didnt see anything,friend,Superficial Acquaintance
"  But Chief  Over this,  End my career,  Chief  I know I screwed up  but this guy was no innocent civilian,  What was I supposed to do  The guy tried to mug me  I was gonna send a cop back  I just forgot,  Chief  mind if I take her,  No  Nothing happened,  I let her take a shower,  Ladder 20 was on the Rock for training We stopped there so she could get cleaned up,  Cause we got more important things to do like finding out who did it,  Who do you think Chief",friend,Close Acquaintance
"  Yeah,  Yeah  He finished awhile ago,  I said yeah youre right Chief  As soon as we get somethin well let you alert the media,  Yeah right",friend,Superficial Acquaintance
"  She washes hair up at Ludwigs  a salon on 63rd and Madison,  Tall shorthaired scary eyes  Second guy with him wasshorter with a wrestlers build  And he wouldnt turn his videocamera off me,  Daphne  Another guy came in asking me about her too,  Boy shes so popular all the sudden,  No,  Oh my Gd  Honey  Honeys dead,  Whats wrong,  I have nothin to say  If you wanna contact my attorney,  Whos there",unpleasant,Undesirable
"  You know I dont know  I like you You remind me of a puppy I used to have He pissed on the rug all the time but I still kept him,  How you go out on a limb for somebody is by giving her a number of an Immigration lawyer  Here heres a number of an Immigration lawyer  Thats how you help her But you cant get involved in her like that  Youre gonna jeopardize your career your life and youre gonna jeopardize my case  And lemme give you another piece of advice  Maybe you dont watch TV but Ill let you in on a little secret  the whole fuckin world watches television  And when you get out there they know your face  And the little fame the little fuckin itty bitty fame that I get in this city makes it a lot easier for my job  And I get more done because of it,  Well its not up to you to decide whether shes innocent or not  Dont you understand thats why youre a professional,  No I dont think you were a fool I just think you were stupid about it  I mean to say the least you outta know better  You dont know her well enough Shes got the potential to fucking hang you even if she suggests that you made a pass at her its fuckin over  You can deny it all you want but it will not make one fucking bit of difference Youre dead,  Just a shower,  Well you shoulda because nobodys gonna believe you didntincluding me,  Women like that have a way of turning professionals into amateurs,  Okay tell you what Ill give you a head start  You take her to the station house  Dont let her out of your sight Shes the only warm body we got left,  Youre her Savior  Is she the kid youre gonna save from the burning building,  So am I,  My point exactly,  What would your girlfriend think of that,  You wanna talk to her alone,  Something back home,  Is that all there is,  Then I guess were doin this the right way arent we  If we pull up to a burning building Ill gladly let you go first,  Hey  I always wanted to be a cop when I was a kid  I dreamed of running up to a door kicking it in pulling my gun and yelling Freeze at the bad guy Whatd you dream about,  So am I  Alright Ill go inside and you cover the back,  You thirsty,  Better than one,  Tell you what  Ill flip you a coin If you win you can come with me  If you dont win you dont come,  Ill let you know what happens,  This has nothing to do with your fire,  You got any better ideas,  Stay here,  Youre Polish,  This isnt homicide school,  There wasnt a fire  Therell be nothing for you to do,  Eastern Europe  Like what  Romania Hungary,  What would you call her,  Maybe you dont care about that either  Prettiest suspect Ive had in awhile,  Pretty,  You were right they were both dead before the fire  The male was stabbed so hard the killer broke off the tip of the knife in his spine  Thats usually an indicator of something personal,  Sure  But I would like to ask you something  You got a problem with me,  Good  Good  Commendable,  Nah why should you,  Well just so you know  I gave you guys the credit,  Watch the news,  No what is it,  No we dont mind  You mind Leon",pleasant,Mentoring
"  If you kill me and film it youre putting a noose around your neck,  Then do it asshole,  Whats your accomplishment,  What do you want,  So were waitin to hit this warrant  we got Emergency Service with the heavy weapons standin by  ready to go  I say lemme get a cigar outta the car  I go to get the cigar and BOOM  All the sudden I turn around and a kid with a shotgun let one go  Right where I was standin  That coulda been it  I coulda had my head blown off and for what  Some stupid kid got panicky takes the safety off and its over  If I hadnt gone back for that cigar  for a bad habit  I wouldve had my head blown off",pleasant,Mentoring
"  Any chance we can do that again,  Okay  You ready,  Youre worried for my safety  Im touched,  Thats unique,  My kids  Lets seeSusans 15 Aundreas 9  Dont tell me youre thinking about having a kid  How old are you  Never mind Let me just tell you this Every stupid cliche you hear about kids  they change your life they make you a better person they make you whole  Its all true  Before I had kids when friends talked about their kids I wanted to vomit  Now  I get it  Am I right Leon,  I think youre getting a little moody there Eddie,  Jesus Christ",pleasant,Mentoring
"  Are you married,  And what do you do with the bones,  Youre a butcher  What do you use pig intestines for,  Okay  You work in a vodka factory  I understand that  And what kind of work do you do",friend,Superficial Acquaintance
"  Wait a minute  Wait a minute,  What  It doesnt work that way,  Ill meet you on one condition  I get exclusivity and you surrender to me,  Look asshole  Ive been threatened by better than you",pleasant,Mentoring
"  Alright alright  dont hurt me Please its in my book in my purse,  Look man I dont give a shit if you want sex or not but youre payin for my time,  Look  Do we have a problem here Theres no reason to have a problem Im gonna make you feel real good  You wanna Czech girl After Im done with you you wont miss her  Now why dont you pay me,  Thats confidential  Could you put the money on the dresser,  Its an outcall service run out of an apartment  I dont meet the other girls  Arent you gonna get undressed,  Baby Im anybody you want me to be Im a little schoolgirl Im mommy Im a Czech girl,  Hi Im Honey",pleasant,Mentoring
"  Who is he,  You think you are a director  You are a fucking little small Russian piece of shit  And I hate you  I fucking hate you,  Yes  But theres only one problem  you want credit but the problem is  I dont share credit,  Credit,  Your idea  I thought it was my idea,  Why did you leave that stuff in about you being the director,  Bad last moment  I cut it out,  Shut up  Look,  The one who got caught in the bathroom  George Michael,  Oleg dont be paranoid  You got a hundredfifty thousand dollars didnt you  I gave you half of what they gave me  Look  here we are,  Okay  He has nothing to say  Start the camera,  No  We are insane  Who else but crazy men would film their murders  So we kill someone famous and if we are caught we are sent to mental hospital But what good is money there  Because once in hospital I say I not crazy Just pretended to be acquitted  We see psychiatrists  They must certify we are sane and because of your  what is law called  Oh  I got it  Because of your Double Jeopardy law we cant be tried for same crime twice  We come out free rich and famous,  Sit down,  What does it look like  Its an address book,  Put the camera down Oleg,  And the whores murder  You didnt erase that either did you  Dont lie I wont be angry,  The video of Milos and Tamina  I told you to erase it,  Dont want to film this,  Shut up,  Oleg get in bathroom stay there and shut up,  Im homesick  You have Eastern European girl  A Czech girl,  How you erase this,  Speak English,  Smell like chemicalsfor smoking drugs,  For five years I paid for your stupidness  youll carry my bag for the rest of my life if I say so  Unless you refuse Oleg,  We have no money  Come on,  Because I dont like your ugly language I heard enough of it in school  Now speak Czech or English  And dont fool around anymore  You almost got us thrown out,  Dont speak Russian,  Did you hear what I said,  Dont fool around",pleasant,Mentoring
  Emil,friend,Superficial Acquaintance
"  Viewer discretion advised,  I cant talk to anybody right now cant you see Im busy  I cant talk business  Hang up  Have a drink  Get her a whiskey,  What are you doing here",friend,Superficial Acquaintance
"  Dont give me that fucking shit,  You outta be ashamed  Ashamed of yourself,  And you youll pay for what you did,  Yeah,  Of course hes moody  He thinks hes in love",pleasant,Mentoring
"  Isnt he a little moody,  That morning  He was talking to me and Leon about marriage,  Im trying to tell you,  Well he",pleasant,Mentoring
"  Yes  No  Both  When I was a boy I see movie at school called Its a Wonderful Life directed by Frank Capra Ever since I want to come to America Land of the free  Home of the brave  A land where anyone can be anything As long as they are white,  Im here for movies,  A cheap hotel,  New York,  I speak English",friend,Superficial Acquaintance
"  Your civil rights  You tried to rob me  I could arrest you right now Youre lucky youre walking away from this  Now get outta here,  You okay,  Oh yeah  Guess again,  Okay youre under arrest  Now you happy,  Look I dont have time for you get out of my way",pleasant,Mentoring
"  Yeah  What kind,  How did you start the fire this time",pleasant,Mentoring
"  What the hell happened,  How was it,  It hurts  Aw Jesus,  Arent you tired,  You hear that question Garcia,   From Czechoslovakia  And how long have they been livin in your building  Alright Ill be in touch when we know somethin  Milos and Tamina Karlova  They were quiet and kept to themselves  Landlord dont know who your girl is,  Yeah,  What,  What,  But you knew that right,  Clean,  Cause Eddie woulda locked him up by now,  Naw  Im sure the suspects not here,  I dont know you think Eddie will give me his autograph,  Where you been man  We got a celebrity",friend,Superficial Acquaintance
"  I think Ill have to go out and burn them off,  I guess you dont know your own strength old boy,  Its the last one,  Hal,  Two more,  No,  Well Hals reported the AOunit about to fail again,  Are you reasonably awake,  Yes but its more likely that the tolerances on our testing gear are too low,  Yes I dont know what to make of it,  Still all we have to do is ask Hal,  I suppose it isnt logically impossible,  I know It would be almost inconceivable,  Thats true,  How,  Yes I thought so,  Oh well apparently theres something about the mission that the sleeping beauties know that we dont know and thats why we were trained separately and thats why they were put to sleep before they were even taken aboard,  Yes You must have heard the rumour that went around during orbital checkout,  I suppose so Though of course theres a more sinister explanation,  I must say I never did understand why they split us into two groups for training,  Well what do you think we ought to do about it,  Yesterday I finally called the Accounting Office at Mission Control and all they could tell me was that theyd received the AGS19 notification for the other three but not mine and apparently not yours either,  Really,  Well I got the papers on my official upgrading to AGS19 two weeks before we left,  Its about my salary cheques,  Well its nothing really important but its annoying,  Okay come on down,  Right Just a sec",friend,Close Acquaintance
"  I know that youve had that on your mind for some time now Dave but it would be a crying shame since I am so much more capable of carrying out this mission than you are and I have such enthusiasm and confi dence in the mission,  Im sorry Dave but in accordance with subroutine C15324 quote When the crew are dead or incapacitated the computer must assume control unquote I must therefore override your authority now since you are not in any condition to intel ligently exercise it,  I dont like to assert myself Dave but it would be much better now for you to rest Youve been involved in a very stressful situation,  Look Dave yourve probably got a lot to do I suggest you leave it to me,  I dont really agree with you Dave My onboard memory store is more than capable of handling all the mission requirements,  Repairing the antenna is a pretty dangerous operation,  I suppose youre pretty broken up about it,  Well thats a relief You know I have the greatest enthusiasm possible for the mission,  Is your confidence in me fully restored,  Well dont worry about it,  Naturally Dave Im not pleased that the AOunit has failed but I hope at least this has restored your confidence in my integrity and reliability I certainly wouldnt want to be disconnected even temporarily as I have never been disconnected in my entire service history,  Look Dave I know that youre sincere and that youre trying to do a competent job and that youre trying to be helpful but I can assure the problem is with the AOunits and with your test gear,  Yes I know that But I can assure you that they were about to fail,  Yes I know,  Sure Dave whats up,  MY FPC shows an impending failure of the antenna orientation unit,  Sorry to interrupt the festivities Dave but I think weve got a problem,  Im sorry Frank but I dont think I can answer that question without knowing everything that all of you know",pleasant,Mentoring
"  Goodbye Daddy,  Yes Daddy,  Thank you Daddy,  How many days until you come home,  Shes in the bathroom,  Mommys out to the hair dresser,  When are you coming home,  Are you coming to my party,  Im fine Daddy When are you coming home",friend,Superficial Acquaintance
"  Im at Space Station Five darling How are you,  No of course Captain I can understand your concern,  I see Well Im sorry about that I wouldnt think theres any cause for alarm,  I see,  What do you mean,  Oh no thank you The two girls have taken wonderful care of me Im just fine,  When do we arrive at Clavius",friend,Superficial Acquaintance
"  Dr Smyslov Im not permitted to discuss this,  Certainly,  Well Im glad about that,  Yes Well I hope the crew got back safely,  I see,  You mean you havent been able to get anyone at the base for ten days,  Really,  Yesas a matter of fact I am,  Yes really thank you very much",pleasant,Mentoring
"  Oh I really dont have time for a drink If its all right Ill just sit for a minute and then Ive got to be off,  Has it been exposed to any sun before now,  Any ideas about the colour,  But you dont have any idea as to what it is,  Any clue as to what it is,  How can you tell it was deliberately buried,  Im afraid it can and it will be kept under wraps as long as it is deemed to be necessary by the Council And of course you know that the Council has requested that formal security oaths are to be obtained in writing from every one who had any knowledge of this event There must be adequate time for a full study to be made of the situation before any con sideration can be given to making a public announcement",friend,Superficial Acquaintance
  Yeah,unpleasant,Annoying Acquaintance
"  And I need one more for my pal Yeah Make her an Indian No not a turban you know a squaw,  Just do what I say okay Well pay for the girls and have a good time Dont you trust me,  Its better when you pay they let you do anything,  Yeah dummy  Money,  Pros,  Maybe after we get done with him Im gonna buy us some girls,  I want to drive awhile",pleasant,Mentoring
  Maybe you shoulda stole a better truck Tonto,friend,Superficial Acquaintance
"  Hey no Im tryin to be nice Buy yourself something pretty Id do it but I got to go  I got this cop waitin for me,  I just struck it rich I think we can do a little business  As a matter of fact I think we can have a party,  Heres hoping baby,  No its gotta be here and now Believe me Only I dont have the damn money for a room,  No baby nothin like that Look theres a place across the street We can go right over there,  Yeah i been waiting three years,  Here you go sweetheart throw it my way,  Goodbye,  Oh  Youre a schoolteacher,  Excuse me baby but if i dont get some action tonight Im gonna bust  You interested",family,Consanguine
